KY_CD,PD_CD,CRM_ATPT_CPTD_CD,LAW_CAT_CD,LOC_OF_OCCUR_DESC,PREM_TYP_DESC,JURISDICTION_CODE,SUSP_AGE_GROUP,SUSP_RACE,SUSP_SEX,VIC_AGE_GROUP,VIC_RACE,VIC_SEX,BORO_NM
578,637.0,2,2,1,6,0.0,4,3,1,4,3,1,2
341,333.0,2,3,1,27,0.0,1,1,1,6,7,4,5
578,637.0,2,2,3,8,0.0,2,3,2,3,3,1,2
233,681.0,2,3,1,1,0.0,3,1,1,1,1,2,3
341,338.0,2,3,3,39,0.0,4,3,1,4,2,2,2
578,638.0,2,2,1,6,0.0,1,7,2,3,3,1,5
341,333.0,2,3,1,25,0.0,6,7,3,6,7,4,3
235,511.0,2,3,1,1,97.0,4,3,1,6,7,3,3
361,639.0,2,3,1,1,0.0,3,2,1,3,2,1,2
105,383.0,2,1,3,8,0.0,6,7,1,2,1,2,3
344,101.0,2,3,1,2,2.0,4,1,2,3,1,1,1
578,638.0,2,2,1,1,0.0,6,7,3,3,3,1,1
578,638.0,2,2,1,1,0.0,3,3,2,5,3,1,2
126,198.0,2,1,1,6,0.0,3,1,1,3,1,1,4
344,101.0,2,3,1,22,0.0,4,3,1,4,2,1,1
341,333.0,2,3,1,25,0.0,3,3,1,6,7,4,4
117,500.0,2,1,3,8,0.0,4,2,1,6,7,3,4
361,639.0,1,3,1,4,14.0,3,2,1,6,7,3,3
578,637.0,2,2,1,7,72.0,4,3,1,6,7,1,1
341,333.0,2,3,1,25,0.0,6,3,1,6,7,4,1
578,637.0,2,2,1,6,0.0,3,2,2,3,2,2,4
341,333.0,2,3,1,25,0.0,3,2,2,6,7,4,3
341,343.0,2,3,1,1,0.0,6,7,3,3,2,2,4
578,638.0,2,2,1,1,0.0,2,3,3,3,3,1,5
361,639.0,2,3,1,2,2.0,6,7,3,3,3,2,2
124,193.0,2,1,1,1,0.0,3,7,2,1,1,1,3
109,416.0,2,1,1,26,0.0,2,3,1,3,2,1,3
341,338.0,2,3,1,4,14.0,3,3,2,3,3,1,3
578,637.0,2,2,1,1,0.0,4,2,1,4,3,1,2
107,211.0,2,1,1,26,0.0,6,3,1,2,2,1,3
578,637.0,2,2,1,6,0.0,3,3,1,3,3,1,4
361,639.0,2,3,1,1,0.0,3,3,2,3,3,1,1
578,637.0,2,2,1,6,0.0,6,3,1,3,3,1,2
578,638.0,2,2,3,6,0.0,6,2,1,5,2,2,4
235,511.0,2,3,3,8,0.0,3,5,1,6,7,3,1
341,333.0,2,3,1,17,0.0,3,3,1,6,7,4,4
235,511.0,2,3,3,8,0.0,4,3,1,6,7,3,2
578,638.0,2,2,1,2,2.0,4,3,1,3,3,1,3
351,259.0,2,3,1,2,2.0,2,3,1,3,3,1,3
236,782.0,2,3,3,2,2.0,4,3,1,6,7,3,2
351,259.0,2,3,1,2,2.0,2,3,1,3,3,1,2
344,101.0,2,3,1,1,0.0,3,1,1,3,1,1,4
578,638.0,2,2,3,8,0.0,3,1,1,3,1,1,1
351,254.0,2,3,3,8,0.0,3,3,1,3,7,2,1
341,338.0,2,3,1,14,0.0,6,3,2,6,7,4,1
344,113.0,2,3,4,2,2.0,6,3,1,2,2,2,3
578,637.0,2,2,1,2,2.0,6,1,2,3,5,1,1
109,418.0,2,1,1,45,0.0,6,7,3,4,3,2,1
361,639.0,2,3,1,6,0.0,4,2,1,3,2,1,2
341,349.0,2,3,3,8,0.0,6,7,3,6,7,4,4
344,101.0,2,3,1,2,2.0,3,3,1,3,1,1,3
344,101.0,2,3,1,1,0.0,4,1,1,4,1,1,1
344,101.0,2,3,1,1,0.0,3,1,2,3,1,2,4
361,639.0,2,3,3,2,2.0,6,7,3,3,1,1,2
106,109.0,2,1,1,12,0.0,4,3,2,2,1,2,4
578,637.0,2,2,1,1,0.0,4,3,1,1,3,1,1
344,113.0,2,3,1,6,0.0,3,3,1,3,3,1,2
578,638.0,2,2,1,6,0.0,4,2,1,4,2,1,5
578,637.0,2,2,1,1,0.0,1,1,1,1,3,2,1
341,349.0,2,3,3,8,0.0,6,7,3,3,1,2,4
578,638.0,2,2,1,6,0.0,3,3,2,3,3,2,2
578,638.0,2,2,1,18,0.0,6,3,1,3,3,1,1
126,198.0,2,1,1,1,0.0,2,5,2,3,5,1,1
361,639.0,2,3,1,1,0.0,3,3,1,3,3,1,1
341,333.0,2,3,1,16,0.0,6,3,1,6,7,4,5
361,639.0,2,3,1,1,0.0,2,1,1,2,1,1,1
344,113.0,2,3,3,8,0.0,6,3,1,3,3,1,4
